damage taken,direction,encounter,month of departure
16%,southbound,harpy,5/1396
32%,southbound,sharks,5/1396
19%,southbound,pirates,5/1396
73%,southbound,merpeople,5/1396
26%,southbound,sharks,5/1396
60%,northbound,kraken,5/1396
54%,southbound,merpeople,5/1396
100%+,northbound,unknown,5/1396
45%,southbound,merpeople,5/1396
47%,southbound,kraken,5/1396
21%,southbound,sharks,5/1396
38%,southbound,sharks,5/1396
70%,northbound,merpeople,5/1396
84%,southbound,demon whale,5/1396
35%,northbound,sharks,5/1396
45%,northbound,kraken,5/1396
38%,northbound,pirates,5/1396
22%,northbound,sharks,5/1396
37%,northbound,pirates,5/1396
13%,southbound,harpy,5/1396
61%,southbound,kraken,5/1396
76%,southbound,water elemental,5/1396
51%,southbound,pirates,5/1396
100%+,southbound,unknown,5/1396
26%,northbound,sharks,5/1396
76%,northbound,demon whale,5/1396
80%,southbound,water elemental,5/1396
31%,southbound,pirates,5/1396
52%,southbound,kraken,5/1396
53%,northbound,merpeople,5/1396
33%,southbound,sharks,5/1396
25%,northbound,sharks,5/1396
100%+,northbound,unknown,5/1396
29%,northbound,pirates,5/1396
63%,northbound,merpeople,5/1396
26%,northbound,sharks,5/1396
54%,southbound,kraken,5/1396
19%,southbound,pirates,5/1396
100%+,southbound,unknown,5/1396
100%+,southbound,unknown,5/1396
79%,southbound,water elemental,5/1396
34%,southbound,pirates,5/1396
77%,southbound,nessie,5/1396
19%,southbound,sharks,5/1396
38%,southbound,merpeople,5/1396
23%,southbound,pirates,5/1396
100%+,northbound,unknown,5/1396
33%,southbound,pirates,5/1396
85%,northbound,water elemental,5/1396
26%,northbound,pirates,6/1396
100%+,southbound,unknown,6/1396
30%,northbound,sharks,6/1396
60%,northbound,kraken,6/1396
36%,northbound,kraken,6/1396
24%,southbound,pirates,6/1396
23%,northbound,sharks,6/1396
17%,southbound,sharks,6/1396
27%,northbound,pirates,6/1396
16%,southbound,harpy,6/1396
85%,southbound,nessie,6/1396
42%,northbound,pirates,6/1396
13%,northbound,pirates,6/1396
28%,northbound,pirates,6/1396
58%,northbound,kraken,6/1396
10%,southbound,harpy,6/1396
35%,northbound,pirates,6/1396
43%,southbound,kraken,6/1396
22%,southbound,sharks,6/1396
49%,southbound,crabmonsters,6/1396
17%,northbound,pirates,6/1396
13%,northbound,sharks,6/1396
77%,southbound,crabmonsters,6/1396
16%,northbound,pirates,6/1396
49%,southbound,merpeople,6/1396
18%,northbound,pirates,6/1396
51%,northbound,merpeople,6/1396
44%,northbound,pirates,6/1396
33%,northbound,pirates,6/1396
31%,northbound,sharks,6/1396
57%,northbound,merpeople,6/1396
63%,northbound,kraken,6/1396
34%,southbound,sharks,6/1396
33%,southbound,merpeople,6/1396
19%,southbound,pirates,6/1396
28%,northbound,sharks,6/1396
12%,northbound,harpy,6/1396
68%,southbound,merpeople,6/1396
30%,northbound,pirates,6/1396
24%,southbound,pirates,6/1396
48%,northbound,kraken,6/1396
19%,southbound,harpy,6/1396
80%,northbound,water elemental,6/1396
41%,southbound,sharks,6/1396
97%,southbound,nessie,6/1396
34%,southbound,pirates,6/1396
18%,southbound,pirates,6/1396
46%,southbound,pirates,6/1396
38%,southbound,pirates,6/1396
83%,northbound,demon whale,6/1396
46%,southbound,merpeople,6/1396
26%,northbound,sharks,6/1396
39%,northbound,pirates,6/1396
40%,northbound,pirates,6/1396
20%,southbound,pirates,6/1396
21%,northbound,sharks,6/1396
94%,northbound,demon whale,6/1396
21%,northbound,harpy,6/1396
19%,northbound,pirates,6/1396
15%,southbound,pirates,6/1396
38%,southbound,pirates,6/1396
48%,southbound,merpeople,6/1396
82%,southbound,water elemental,6/1396
19%,southbound,pirates,6/1396
100%+,northbound,unknown,6/1396
100%+,northbound,unknown,6/1396
74%,southbound,water elemental,6/1396
10%,northbound,pirates,6/1396
68%,northbound,kraken,6/1396
17%,southbound,harpy,6/1396
100%+,northbound,unknown,6/1396
100%+,northbound,unknown,6/1396
30%,northbound,sharks,6/1396
18%,southbound,sharks,6/1396
41%,southbound,pirates,6/1396
44%,northbound,merpeople,6/1396
38%,northbound,pirates,6/1396
11%,southbound,sharks,6/1396
21%,southbound,sharks,6/1396
100%+,southbound,unknown,6/1396
60%,northbound,merpeople,6/1396
39%,northbound,merpeople,6/1396
53%,northbound,merpeople,6/1396
19%,northbound,pirates,6/1396
36%,northbound,pirates,6/1396
81%,southbound,water elemental,6/1396
35%,northbound,sharks,6/1396
32%,southbound,sharks,6/1396
67%,northbound,merpeople,6/1396
24%,southbound,sharks,6/1396
84%,northbound,water elemental,6/1396
9%,southbound,pirates,6/1396
15%,southbound,pirates,6/1396
84%,southbound,nessie,6/1396
14%,northbound,pirates,6/1396
100%+,southbound,unknown,6/1396
53%,southbound,pirates,6/1396
29%,southbound,merpeople,6/1396
48%,northbound,pirates,6/1396
55%,northbound,merpeople,6/1396
85%,northbound,demon whale,6/1396
91%,southbound,nessie,6/1396
28%,northbound,sharks,6/1396
23%,northbound,sharks,6/1396
71%,southbound,merpeople,6/1396
18%,southbound,pirates,6/1396
23%,northbound,sharks,6/1396
40%,northbound,crabmonsters,6/1396
100%+,southbound,unknown,6/1396
76%,southbound,merpeople,6/1396
75%,northbound,water elemental,6/1396
12%,southbound,pirates,6/1396
42%,northbound,pirates,6/1396
7%,southbound,pirates,6/1396
8%,southbound,harpy,6/1396
83%,southbound,water elemental,6/1396
20%,northbound,sharks,6/1396
22%,northbound,sharks,6/1396
16%,southbound,harpy,6/1396
33%,northbound,pirates,6/1396
100%+,northbound,unknown,6/1396
19%,southbound,pirates,6/1396
100%+,southbound,unknown,6/1396
100%+,southbound,unknown,6/1396
15%,northbound,harpy,6/1396
85%,northbound,merpeople,6/1396
100%+,southbound,unknown,6/1396
42%,southbound,pirates,6/1396
44%,southbound,kraken,6/1396
49%,southbound,kraken,6/1396
100%+,southbound,unknown,6/1396
100%+,northbound,unknown,6/1396
78%,southbound,water elemental,6/1396
22%,northbound,pirates,6/1396
87%,southbound,nessie,6/1396
24%,northbound,sharks,6/1396
100%+,northbound,unknown,6/1396
16%,northbound,harpy,6/1396
14%,northbound,pirates,6/1396
14%,northbound,pirates,6/1396
37%,southbound,sharks,6/1396
13%,southbound,pirates,6/1396
15%,northbound,pirates,6/1396
78%,southbound,water elemental,6/1396
100%+,northbound,unknown,6/1396
21%,northbound,merpeople,6/1396
36%,southbound,pirates,6/1396
42%,southbound,merpeople,6/1396
18%,southbound,pirates,6/1396
23%,northbound,pirates,6/1396
62%,southbound,merpeople,6/1396
21%,southbound,pirates,6/1396
16%,southbound,sharks,6/1396
9%,southbound,harpy,6/1396
79%,southbound,water elemental,6/1396
100%+,northbound,unknown,6/1396
55%,northbound,kraken,6/1396
15%,northbound,pirates,6/1396
81%,northbound,water elemental,6/1396
100%+,northbound,unknown,6/1396
71%,southbound,merpeople,6/1396
74%,northbound,nessie,6/1396
53%,northbound,kraken,6/1396
48%,northbound,pirates,6/1396
16%,southbound,pirates,6/1396
25%,southbound,pirates,6/1396
41%,northbound,merpeople,6/1396
80%,northbound,water elemental,6/1396
13%,northbound,pirates,6/1396
27%,southbound,pirates,6/1396
58%,northbound,kraken,6/1396
46%,northbound,merpeople,6/1396
15%,northbound,crabmonsters,6/1396
16%,southbound,pirates,6/1396
74%,southbound,water elemental,7/1396
88%,northbound,nessie,7/1396
63%,southbound,merpeople,7/1396
100%+,southbound,unknown,7/1396
48%,northbound,kraken,7/1396
100%+,southbound,unknown,7/1396
11%,northbound,pirates,7/1396
22%,northbound,pirates,7/1396
29%,southbound,pirates,7/1396
35%,southbound,sharks,7/1396
38%,southbound,crabmonsters,7/1396
9%,northbound,harpy,7/1396
35%,northbound,pirates,7/1396
25%,southbound,pirates,7/1396
84%,southbound,nessie,7/1396
100%+,northbound,unknown,7/1396
1%,northbound,crabmonsters,7/1396
49%,northbound,pirates,7/1396
69%,southbound,demon whale,7/1396
42%,northbound,merpeople,7/1396
82%,northbound,water elemental,7/1396
60%,northbound,merpeople,7/1396
18%,southbound,pirates,7/1396
33%,southbound,merpeople,7/1396
75%,northbound,water elemental,7/1396
58%,southbound,kraken,7/1396
15%,southbound,harpy,7/1396
27%,northbound,pirates,7/1396
54%,southbound,merpeople,7/1396
100%+,northbound,unknown,7/1396
18%,northbound,harpy,7/1396
83%,northbound,merpeople,7/1396
25%,southbound,pirates,7/1396
43%,southbound,pirates,7/1396
34%,southbound,pirates,7/1396
75%,northbound,water elemental,7/1396
22%,northbound,pirates,7/1396
85%,northbound,water elemental,7/1396
51%,southbound,merpeople,7/1396
62%,northbound,kraken,7/1396
100%+,northbound,unknown,7/1396
34%,northbound,sharks,7/1396
28%,northbound,pirates,7/1396
83%,northbound,water elemental,7/1396
34%,southbound,pirates,7/1396
35%,northbound,pirates,7/1396
16%,southbound,pirates,7/1396
33%,southbound,sharks,7/1396
69%,northbound,merpeople,7/1396
100%+,southbound,unknown,7/1396
100%+,northbound,unknown,7/1396
21%,northbound,pirates,7/1396
22%,southbound,sharks,7/1396
30%,northbound,pirates,7/1396
92%,northbound,merpeople,7/1396
76%,northbound,water elemental,7/1396
24%,southbound,sharks,7/1396
38%,northbound,merpeople,7/1396
24%,northbound,sharks,7/1396
22%,northbound,pirates,7/1396
40%,southbound,pirates,7/1396
34%,southbound,merpeople,7/1396
96%,northbound,demon whale,7/1396
7%,northbound,harpy,7/1396
100%+,northbound,unknown,7/1396
25%,northbound,pirates,7/1396
55%,northbound,kraken,7/1396
18%,northbound,pirates,7/1396
78%,southbound,water elemental,7/1396
8%,southbound,sharks,7/1396
12%,northbound,pirates,7/1396
100%+,southbound,unknown,7/1396
62%,southbound,kraken,7/1396
47%,southbound,pirates,7/1396
43%,southbound,kraken,7/1396
80%,northbound,nessie,7/1396
13%,northbound,sharks,7/1396
20%,northbound,pirates,7/1396
9%,southbound,harpy,7/1396
83%,southbound,nessie,7/1396
23%,northbound,sharks,7/1396
37%,northbound,sharks,7/1396
35%,northbound,pirates,7/1396
25%,northbound,pirates,7/1396
12%,northbound,harpy,7/1396
21%,northbound,pirates,7/1396
15%,northbound,pirates,7/1396
44%,southbound,merpeople,7/1396
13%,southbound,pirates,7/1396
19%,southbound,pirates,7/1396
37%,northbound,kraken,7/1396
82%,southbound,water elemental,7/1396
16%,southbound,sharks,7/1396
15%,northbound,pirates,7/1396
20%,northbound,pirates,7/1396
17%,northbound,pirates,7/1396
100%+,southbound,unknown,7/1396
44%,northbound,pirates,7/1396
19%,southbound,pirates,7/1396
7%,northbound,harpy,7/1396
37%,northbound,merpeople,7/1396
85%,northbound,water elemental,7/1396
28%,southbound,pirates,7/1396
18%,northbound,pirates,7/1396
14%,northbound,pirates,7/1396
35%,southbound,pirates,7/1396
55%,southbound,kraken,7/1396
100%+,southbound,unknown,7/1396
74%,southbound,water elemental,7/1396
41%,southbound,pirates,7/1396
34%,northbound,pirates,7/1396
12%,northbound,pirates,7/1396
84%,southbound,nessie,7/1396
64%,northbound,merpeople,7/1396
14%,southbound,pirates,7/1396
39%,southbound,pirates,7/1396
15%,northbound,pirates,7/1396
12%,northbound,harpy,7/1396
68%,northbound,merpeople,7/1396
79%,northbound,water elemental,7/1396
60%,southbound,kraken,7/1396
19%,southbound,merpeople,7/1396
23%,northbound,merpeople,7/1396
21%,southbound,sharks,7/1396
31%,southbound,merpeople,7/1396
100%+,northbound,unknown,7/1396
100%+,southbound,unknown,7/1396
16%,southbound,merpeople,7/1396
57%,southbound,kraken,7/1396
16%,southbound,sharks,7/1396
98%,northbound,demon whale,7/1396
48%,northbound,crabmonsters,7/1396
74%,southbound,water elemental,7/1396
27%,southbound,sharks,7/1396
17%,northbound,harpy,7/1396
83%,northbound,water elemental,7/1396
40%,southbound,sharks,7/1396
21%,southbound,sharks,7/1396
17%,northbound,pirates,7/1396
22%,northbound,pirates,7/1396
34%,southbound,pirates,7/1396
100%+,northbound,unknown,7/1396
100%+,southbound,unknown,7/1396
6%,northbound,harpy,7/1396
22%,northbound,pirates,7/1396
30%,southbound,sharks,7/1396
23%,northbound,harpy,7/1396
57%,northbound,kraken,7/1396
27%,southbound,pirates,7/1396
16%,southbound,harpy,7/1396
24%,northbound,sharks,7/1396
4%,northbound,crabmonsters,7/1396
83%,northbound,nessie,7/1396
7%,southbound,sharks,7/1396
47%,northbound,kraken,7/1396
28%,southbound,sharks,7/1396
78%,northbound,nessie,7/1396
8%,southbound,sharks,7/1396
46%,northbound,pirates,7/1396
74%,southbound,merpeople,7/1396
76%,northbound,water elemental,7/1396
29%,northbound,pirates,7/1396
50%,northbound,merpeople,7/1396
22%,southbound,sharks,7/1396
18%,southbound,pirates,7/1396
23%,northbound,crabmonsters,7/1396
30%,southbound,merpeople,7/1396
47%,southbound,kraken,7/1396
35%,northbound,sharks,7/1396
100%+,southbound,unknown,7/1396
53%,southbound,kraken,7/1396
35%,southbound,pirates,7/1396
77%,southbound,water elemental,7/1396
18%,southbound,pirates,8/1396
100%+,northbound,unknown,8/1396
56%,northbound,merpeople,8/1396
83%,southbound,water elemental,8/1396
33%,southbound,pirates,8/1396
17%,northbound,sharks,8/1396
100%+,southbound,unknown,8/1396
100%+,northbound,unknown,8/1396
22%,northbound,pirates,8/1396
18%,southbound,sharks,8/1396
59%,northbound,merpeople,8/1396
41%,southbound,sharks,8/1396
47%,southbound,pirates,8/1396
56%,northbound,kraken,8/1396
10%,southbound,harpy,8/1396
23%,northbound,pirates,8/1396
77%,northbound,nessie,8/1396
62%,southbound,kraken,8/1396
20%,northbound,pirates,8/1396
77%,southbound,water elemental,8/1396
100%+,southbound,unknown,8/1396
49%,northbound,merpeople,8/1396
54%,northbound,merpeople,8/1396
48%,northbound,merpeople,8/1396
75%,northbound,water elemental,8/1396
12%,southbound,harpy,8/1396
33%,southbound,sharks,8/1396
11%,southbound,sharks,8/1396
100%+,southbound,unknown,8/1396
17%,southbound,pirates,8/1396
55%,southbound,pirates,8/1396
46%,southbound,kraken,8/1396
17%,northbound,pirates,8/1396
26%,northbound,sharks,8/1396
41%,northbound,kraken,8/1396
11%,northbound,sharks,8/1396
13%,southbound,harpy,8/1396
21%,southbound,sharks,8/1396
5%,southbound,crabmonsters,8/1396
74%,northbound,water elemental,8/1396
100%+,northbound,unknown,8/1396
26%,southbound,pirates,8/1396
30%,northbound,sharks,8/1396
91%,northbound,merpeople,8/1396
82%,northbound,water elemental,8/1396
84%,southbound,merpeople,8/1396
19%,northbound,pirates,8/1396
7%,northbound,sharks,8/1396
100%+,northbound,unknown,8/1396
19%,northbound,pirates,8/1396
75%,southbound,water elemental,8/1396
31%,southbound,pirates,8/1396
36%,southbound,sharks,8/1396
7%,northbound,harpy,8/1396
24%,southbound,pirates,8/1396
51%,northbound,pirates,8/1396
17%,northbound,harpy,8/1396
34%,northbound,merpeople,8/1396
11%,southbound,crabmonsters,8/1396
18%,northbound,harpy,8/1396
16%,northbound,sharks,8/1396
25%,northbound,pirates,8/1396
33%,southbound,pirates,8/1396
42%,northbound,pirates,8/1396
18%,southbound,pirates,8/1396
36%,northbound,pirates,8/1396
15%,southbound,pirates,8/1396
13%,northbound,sharks,8/1396
100%+,northbound,unknown,8/1396
100%+,southbound,unknown,8/1396
18%,southbound,harpy,8/1396
35%,northbound,merpeople,8/1396
19%,southbound,pirates,8/1396
79%,northbound,water elemental,8/1396
50%,southbound,kraken,8/1396
46%,southbound,kraken,8/1396
24%,southbound,pirates,8/1396
38%,southbound,sharks,8/1396
17%,northbound,pirates,8/1396
42%,northbound,merpeople,8/1396
35%,northbound,merpeople,8/1396
80%,northbound,nessie,8/1396
22%,northbound,crabmonsters,8/1396
16%,northbound,pirates,8/1396
7%,southbound,crabmonsters,8/1396
7%,northbound,merpeople,8/1396
76%,southbound,water elemental,8/1396
17%,northbound,sharks,8/1396
81%,northbound,nessie,8/1396
91%,northbound,nessie,8/1396
35%,southbound,sharks,8/1396
100%+,northbound,unknown,8/1396
39%,southbound,pirates,8/1396
95%,northbound,merpeople,8/1396
73%,northbound,nessie,8/1396
75%,northbound,water elemental,8/1396
42%,southbound,pirates,8/1396
62%,southbound,crabmonsters,8/1396
21%,northbound,pirates,8/1396
100%+,northbound,unknown,8/1396
76%,northbound,water elemental,8/1396
19%,southbound,pirates,8/1396
9%,northbound,sharks,8/1396
83%,southbound,water elemental,8/1396
100%+,northbound,unknown,8/1396
37%,southbound,pirates,8/1396
52%,southbound,pirates,8/1396
79%,northbound,water elemental,8/1396
16%,northbound,pirates,8/1396
28%,northbound,merpeople,8/1396
79%,southbound,water elemental,8/1396
7%,southbound,crabmonsters,8/1396
23%,southbound,sharks,8/1396
81%,northbound,water elemental,8/1396
10%,northbound,merpeople,8/1396
42%,southbound,pirates,8/1396
54%,northbound,pirates,8/1396
49%,southbound,merpeople,8/1396
84%,southbound,water elemental,8/1396
49%,southbound,kraken,8/1396
79%,southbound,water elemental,8/1396
20%,northbound,pirates,8/1396
33%,southbound,pirates,8/1396
36%,southbound,pirates,8/1396
58%,southbound,kraken,8/1396
40%,southbound,merpeople,8/1396
20%,northbound,sharks,8/1396
41%,southbound,pirates,8/1396
94%,southbound,demon whale,8/1396
17%,northbound,pirates,8/1396
33%,northbound,sharks,8/1396
20%,northbound,pirates,8/1396
79%,southbound,water elemental,8/1396
100%+,southbound,unknown,8/1396
17%,southbound,pirates,8/1396
41%,southbound,sharks,8/1396
22%,northbound,sharks,8/1396
19%,southbound,sharks,8/1396
61%,northbound,merpeople,8/1396
26%,northbound,sharks,8/1396
80%,northbound,water elemental,8/1396
43%,southbound,pirates,8/1396
28%,northbound,sharks,8/1396
100%+,southbound,unknown,8/1396
44%,southbound,pirates,8/1396
23%,northbound,sharks,8/1396
53%,northbound,pirates,8/1396
35%,northbound,pirates,8/1396
82%,southbound,water elemental,8/1396
8%,northbound,sharks,8/1396
61%,southbound,kraken,8/1396
5%,southbound,harpy,8/1396
16%,southbound,sharks,8/1396
49%,northbound,kraken,8/1396
48%,southbound,pirates,8/1396
42%,northbound,pirates,8/1396
25%,southbound,sharks,8/1396
54%,northbound,merpeople,8/1396
79%,southbound,water elemental,8/1396
54%,northbound,merpeople,8/1396
30%,southbound,sharks,8/1396
11%,northbound,pirates,8/1396
11%,northbound,sharks,8/1396
55%,southbound,merpeople,8/1396
14%,northbound,harpy,8/1396
100%+,southbound,unknown,8/1396
27%,northbound,sharks,8/1396
45%,northbound,kraken,8/1396
95%,southbound,crabmonsters,8/1396
26%,southbound,pirates,8/1396
17%,southbound,pirates,8/1396
100%+,southbound,unknown,8/1396
53%,northbound,merpeople,8/1396
84%,northbound,nessie,8/1396
96%,northbound,merpeople,8/1396
31%,southbound,sharks,8/1396
76%,southbound,water elemental,8/1396
18%,southbound,pirates,8/1396
19%,northbound,pirates,8/1396
83%,northbound,nessie,8/1396
100%+,southbound,unknown,8/1396
32%,southbound,kraken,8/1396
75%,southbound,water elemental,8/1396
51%,southbound,merpeople,8/1396
23%,northbound,pirates,8/1396
43%,southbound,pirates,8/1396
9%,northbound,harpy,9/1396
20%,northbound,pirates,9/1396
79%,northbound,water elemental,9/1396
100%+,southbound,unknown,9/1396
43%,southbound,merpeople,9/1396
24%,northbound,merpeople,9/1396
16%,northbound,pirates,9/1396
36%,northbound,pirates,9/1396
100%+,northbound,unknown,9/1396
100%+,southbound,unknown,9/1396
19%,southbound,pirates,9/1396
17%,southbound,pirates,9/1396
25%,northbound,sharks,9/1396
74%,northbound,water elemental,9/1396
40%,southbound,pirates,9/1396
55%,northbound,merpeople,9/1396
14%,southbound,pirates,9/1396
87%,northbound,nessie,9/1396
23%,southbound,pirates,9/1396
57%,northbound,kraken,9/1396
20%,northbound,sharks,9/1396
54%,northbound,pirates,9/1396
100%+,northbound,unknown,9/1396
59%,southbound,pirates,9/1396
